,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number,x,y,Model strike,Model dip
0,20.0,5.0,22.5,75.956,89.734,1.004,1.153,18.74965440629984,-81.82740348766757,1,-320.0,-10.0,77.0,90.0
1,20.0,5.0,22.5,77.217,89.32799999999999,1.369,1.57,18.790655441863336,-81.64142882728376,2,-300.0,-10.0,77.0,90.0
2,20.0,5.0,22.5,77.755,88.887,0.606,1.645,18.83065447669295,-81.45544567681749,3,-280.0,-10.0,77.0,90.0
3,20.0,5.0,22.5,79.705,89.382,0.365,1.734,18.871654512532523,-81.27047013047364,4,-260.0,-10.0,77.0,90.0
4,20.0,5.0,22.5,79.033,89.295,1.261,1.546,18.91265554851281,-81.08448864277743,5,-240.0,-10.0,77.0,90.0
5,20.0,5.0,22.5,80.15,89.135,1.0659999999999998,1.4780000000000002,18.952654583748256,-80.89851366096717,6,-220.0,-10.0,77.0,90.0
6,20.0,5.0,22.5,78.749,88.508,-0.45899999999999996,1.23,18.993654620003078,-80.71253928769394,7,-200.0,-10.0,77.0,90.0
7,20.0,5.0,22.5,79.699,88.65100000000001,-0.429,1.337,19.034654656396967,-80.52755697271552,8,-180.0,-10.0,77.0,90.0
8,20.0,5.0,22.5,81.40100000000001,88.79299999999999,-1.19,1.662,19.075655692930514,-80.34158271665387,9,-160.0,-10.0,77.0,90.0
9,20.0,5.0,22.5,83.999,89.156,-0.644,1.538,19.115654728704715,-80.15560796107208,10,-140.0,-10.0,77.0,90.0
10,20.0,5.0,22.5,84.391,89.992,-0.857,2.0380000000000003,19.156654765510787,-79.9696258199508,11,-120.0,-10.0,77.0,90.0
11,20.0,5.0,22.5,264.368,89.85,0.5670000000000001,1.965,19.19765480245486,-79.78465073739027,12,-100.0,-10.0,77.0,90.0
12,20.0,5.0,22.5,264.19,89.52799999999999,-0.034,2.15,19.23765383862972,-79.59866915180686,13,-80.0,-10.0,77.0,90.0
13,20.0,5.0,22.5,262.195,88.541,0.0,2.283,19.278654875846588,-79.41269518569898,14,-60.0,-10.0,77.0,90.0
14,20.0,5.0,22.5,261.889,87.43,-0.9079999999999999,1.955,19.319654913199784,-79.22672127779204,15,-40.0,-10.0,77.0,90.0
15,20.0,5.0,22.5,262.07099999999997,85.98899999999999,-1.5090000000000001,1.6219999999999999,19.359653949773023,-79.0417378627927,16,-20.0,-10.0,77.0,90.0
16,20.0,5.0,22.5,258.156,83.676,-1.7080000000000002,1.202,19.4006549873975,-78.85576407174216,17,0.0,-10.0,77.0,90.0
17,20.0,5.0,22.5,235.42,75.32600000000001,0.401,0.496,19.441655025157498,-78.66979033909145,18,20.0,-10.0,77.0,90.0
18,20.0,5.0,22.5,214.372,79.18,5.73,0.561,19.481656062128728,-78.48480809640512,19,40.0,-10.0,77.0,90.0
19,20.0,5.0,22.5,105.07,85.15299999999999,176.248,0.855,19.522654100155684,-78.29883447930801,20,60.0,-10.0,77.0,90.0
20,20.0,5.0,22.5,102.75299999999999,86.523,176.873,0.873,19.56365513832112,-78.11285392309287,21,80.0,-10.0,77.0,90.0
21,20.0,5.0,22.5,96.431,86.779,177.425,0.903,19.6036561756862,-77.9268798521842,22,100.0,-10.0,77.0,90.0
22,20.0,5.0,22.5,99.444,86.919,178.77599999999998,0.552,19.644656214117976,-77.7419054125007,23,120.0,-10.0,77.0,90.0
23,20.0,5.0,17.5,75.806,89.708,1.041,2.109,18.74965440629984,-81.82740348766757,24,-320.0,-5.0,77.0,90.0
24,20.0,5.0,17.5,76.98899999999999,89.352,1.4140000000000001,2.839,18.790655441863336,-81.64142882728376,25,-300.0,-5.0,77.0,90.0
25,20.0,5.0,17.5,77.943,88.802,0.648,3.113,18.83065447669295,-81.45544567681749,26,-280.0,-5.0,77.0,90.0
26,20.0,5.0,17.5,79.458,89.316,0.382,3.208,18.871654512532523,-81.27047013047364,27,-260.0,-5.0,77.0,90.0
27,20.0,5.0,17.5,79.32600000000001,89.26299999999999,1.192,2.8939999999999997,18.91265554851281,-81.08448864277743,28,-240.0,-5.0,77.0,90.0
28,20.0,5.0,17.5,80.383,89.1,0.929,2.747,18.952654583748256,-80.89851366096717,29,-220.0,-5.0,77.0,90.0
29,20.0,5.0,17.5,78.96600000000001,88.56700000000001,-0.531,2.2969999999999997,18.993654620003078,-80.71253928769394,30,-200.0,-5.0,77.0,90.0
30,20.0,5.0,17.5,79.968,88.735,-0.569,2.5380000000000003,19.034654656396967,-80.52755697271552,31,-180.0,-5.0,77.0,90.0
31,20.0,5.0,17.5,81.743,88.697,-1.082,3.176,19.075655692930514,-80.34158271665387,32,-160.0,-5.0,77.0,90.0
32,20.0,5.0,17.5,83.275,89.204,-0.794,2.793,19.115654728704715,-80.15560796107208,33,-140.0,-5.0,77.0,90.0
33,20.0,5.0,17.5,84.598,89.965,-0.813,3.858,19.156654765510787,-79.9696258199508,34,-120.0,-5.0,77.0,90.0
34,20.0,5.0,17.5,264.44,89.801,0.584,3.764,19.19765480245486,-79.78465073739027,35,-100.0,-5.0,77.0,90.0
35,20.0,5.0,17.5,263.856,89.49,-0.157,4.11,19.23765383862972,-79.59866915180686,36,-80.0,-5.0,77.0,90.0
36,20.0,5.0,17.5,261.959,88.485,0.0,4.254,19.278654875846588,-79.41269518569898,37,-60.0,-5.0,77.0,90.0
37,20.0,5.0,17.5,261.847,87.399,-0.917,3.767,19.319654913199784,-79.22672127779204,38,-40.0,-5.0,77.0,90.0
